case_id,slope_type,height,cohesion,friction_angle,unit_weight,water_depth_ratio,fs_fellenius,fs_bishop,fs_average,soil_type,water_type,slope_angle,upper_angle,lower_angle
5,simple,41.26966473988212,18.048354604389935,35.47972148566976,21.30523878009045,0.5065211004752179,0.4850653569569137,0.1,0.2925326784784569,mixed,horizontal,47.51132710781309,47.51132710781309,47.51132710781309
23,simple,46.322826592098096,24.131232424131017,16.645746084078844,20.15543680046549,0.4136943446855356,0.18966871906248137,0.1,0.1448343595312407,mixed,horizontal,40.40202308014083,40.40202308014083,40.40202308014083
24,simple,13.830542675953502,7.354170162550863,21.50929965833885,18.238527240011383,0.3326198407917212,0.5977745075557351,0.1,0.34888725377786756,silt,horizontal,54.503767709439884,54.503767709439884,54.503767709439884
30,simple,22.149523112531632,0.11858180152895303,26.595782472680007,19.67187817434611,0.23222694185180828,1.7489172296741033,0.1,0.9244586148370517,sand,horizontal,55.97351156566906,55.97351156566906,55.97351156566906
33,simple,14.06576731069222,6.429249558956089,22.39444899879146,17.820731333580643,0.13767988211988974,0.10830976307304449,0.1,0.10415488153652225,silt,horizontal,31.709721280840647,31.709721280840647,31.709721280840647
35,simple,45.03809006523755,1.104352535008113,34.31956270040084,17.514309043187513,0.3437963048605334,1.7069307991077856,0.1,0.9034653995538928,silt,horizontal,55.01531769419036,55.01531769419036,55.01531769419036
37,simple,41.787421543655,23.57401395563923,22.406393832919605,19.270050494343643,0.7443387945430223,0.8224131767671883,0.1,0.46120658838359413,mixed,horizontal,45.38920934755605,45.38920934755605,45.38920934755605
64,simple,28.33331596743708,1.3767242506922206,25.352696581046928,20.21082306465151,0.07438422115583299,0.25341225307031107,0.1,0.17670612653515555,sand,horizontal,36.23123619892222,36.23123619892222,36.23123619892222
75,simple,18.691397753439297,3.239658538596486,22.670442944080456,17.310275629048537,0.478035499621776,1.6885330957377824,0.1,0.8942665478688913,silt,horizontal,56.95201937492277,56.95201937492277,56.95201937492277
79,simple,18.467280173481385,27.86122919992194,21.280475872043638,19.77243227088053,0.6351418201879632,0.2051497776402168,0.1,0.1525748888201084,clay,horizontal,60.320018006566485,60.320018006566485,60.320018006566485
80,simple,26.14297191079313,1.2353189688904742,32.089700282048305,21.10615957781045,0.3237541771583017,1.3511513198037497,0.1,0.7255756599018749,mixed,horizontal,34.57258238227037,34.57258238227037,34.57258238227037
